centre_name,address,neighbourhood,lat,lng,curriculum,language_medium,fee_halfday_raw,fee_fullday_raw,fee_display,scale,religious_orientation,source_primary,source_notes,threat_score,phone,updated_at,merge_count,entity_resolution
[TARGET — Brand A] IDRISSI Preschool Network,Multiple locations across Peninsular Malaysia,Multiple (Peninsular Malaysia),3.1022,101.5333,"Islamic-integrated, KSPK-aligned","BM, English",[Reference only],[Reference only — accessible price point],[Reference only] | [Reference only — accessible price point],National Chain,Islamic-integrated,Reference — Target,[Reference — Target Brand A. Excluded from competitor statistics.],Reference,,2026-04-14 03:06:39 UTC,,
[TARGET — Brand B] IDRISSI Cambridge Eco-Preschool,"Persiaran Tebar Layar, Bukit Jelutong, 40150 Shah Alam, Selangor",Bukit Jelutong,3.1022,101.5333,"Cambridge Early Years, Nature-based / Eco-Islamic","English, BM, Arabic",Not published,"RM 1,175/month (RM 14,100/year)","Not published | RM 1,175/month (RM 14,100/year)",Institutional Campus,Islamic-integrated,Reference — Target,[Reference — Target Brand B. Fee verified: IDRISSI website. Excluded from statistics.],Reference,,2026-04-14 03:06:39 UTC,,
REAL Kids Shah Alam,"Shah Alam, Selangor",Setia Alam,3.0904819,101.5081647,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 450–550/month (half-day),RM 700–900/month (full-day),RM 450–550/month (half-day) | RM 700–900/month (full-day),National Chain,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified: REAL Kids website / Kiddy123 listings] | [Verified via none]: [DDGS] Found address + 5 sources,7,03 7846 6632,2026-04-14 03:06:39 UTC,,
Pasti Al-Quds,"44, Jalan Belat Dua 19/32c, 40300",Other,3.0568845,101.5337054,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Islamic-integrated,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via none]: [DDGS] Found address + 5 sources,4,,2026-04-14 03:06:39 UTC,,
Genius Aulad,"Jalan SS 6/5A, Petaling Jaya",OUT_OF_BOUNDS,3.1018946,101.599718,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,RM 300–450/month (half-day),RM 450–650/month (full-day),RM 300–450/month (half-day) | RM 450–650/month (full-day),National Chain,Islamic-integrated,Overpass API,[Flagged: Location outside 10km radius],0,013-393 2536,2026-04-14 03:06:39 UTC,,
Tabika Kemas Warisan Sg Way,Petaling Jaya,OUT_OF_BOUNDS,3.0846714,101.6165188,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Overpass API,[Flagged: Location outside 10km radius],0,,2026-04-14 03:06:39 UTC,,
Tabika Kemas Nur Anggerik,"Jalan Liku 8/1, Shah Alam, Selangor",Setia Alam,3.0915068,101.5073211,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via none]: [DDGS] Found address + 5 sources,4,03-55105133,2026-04-14 03:06:39 UTC,,
Sg Way Youth Club Kindergarten,Jalan SS9/13,Glenmarie,3.0867838,101.6157837,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)],4,016-248 6129,2026-04-14 03:06:39 UTC,,
Scholars Junior,"JALAN JUBLI PERAK 22/1, Seksyen 22, 40300",Other,3.0669037,101.5547138,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results',4,,2026-04-14 03:06:39 UTC,,
Tadika Emaan Kindy,Jalan Dividen Tiga 23/6C,Other,3.0424106,101.526438,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)],4,012-283 3593,2026-04-14 03:06:39 UTC,,
