centre_name,address,neighbourhood,lat,lng,curriculum,language_medium,fee_halfday_raw,fee_fullday_raw,fee_display,scale,religious_orientation,source_primary,source_notes,threat_score,phone,updated_at,merge_count,entity_resolution
[TARGET — Brand A] IDRISSI Preschool Network,Multiple locations across Peninsular Malaysia,Multiple (Peninsular Malaysia),3.1022,101.5333,"Islamic-integrated, KSPK-aligned","BM, English",[Reference only],[Reference only — accessible price point],[Reference only] | [Reference only — accessible price point],National Chain,Islamic-integrated,Reference — Target,[Reference — Target Brand A. Excluded from competitor statistics.],Reference,,2026-04-14 06:01:10 UTC,,
[TARGET — Brand B] IDRISSI Cambridge Eco-Preschool,"Persiaran Tebar Layar, Bukit Jelutong, 40150 Shah Alam, Selangor",Bukit Jelutong,3.1022,101.5333,"Cambridge Early Years, Nature-based / Eco-Islamic","English, BM, Arabic",Not published,"RM 1,175/month (RM 14,100/year)","Not published | RM 1,175/month (RM 14,100/year)",Institutional Campus,Islamic-integrated,Reference — Target,[Reference — Target Brand B. Fee verified: IDRISSI website. Excluded from statistics.],Reference,,2026-04-14 06:01:10 UTC,,
REAL Kids Shah Alam,"Shah Alam, Selangor",Setia Alam,3.0904819,101.5081647,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,RM 450–550/month (half-day),RM 700–900/month (full-day),RM 450–550/month (half-day) | RM 700–900/month (full-day),National Chain,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified: REAL Kids website / Kiddy123 listings],7,03-3341 2302,2026-04-14 06:01:10 UTC,,
Pasti Al-Quds,"44, Jalan Belat Dua 19/32c, 40300",Other,3.0568845,101.5337054,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Islamic-integrated,Overpass API,[Verified: Overpass API - OpenStreetMap (main)],4,+60 13-395 7130,2026-04-14 06:01:10 UTC,,
Genius Aulad,"Jalan SS 6/5A, Petaling Jaya",OUT_OF_BOUNDS,3.1018946,101.599718,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,RM 300–450/month (half-day),RM 450–650/month (full-day),RM 300–450/month (half-day) | RM 450–650/month (full-day),National Chain,Islamic-integrated,Overpass API,[Flagged: Location outside 10km radius],0,+60 3-5885 1413,2026-04-14 06:01:10 UTC,,
Tabika Kemas Warisan Sg Way,Petaling Jaya,OUT_OF_BOUNDS,3.0846714,101.6165188,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Overpass API,[Flagged: Location outside 10km radius],0,491350431,2026-04-14 06:01:10 UTC,,
Tabika Kemas Nur Anggerik,"Jalan Liku 8/1, Shah Alam, Selangor",Setia Alam,3.0915068,101.5073211,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),National Chain,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)],4,,2026-04-14 06:01:10 UTC,,
Sg Way Youth Club Kindergarten,Jalan SS9/13,Glenmarie,3.0867838,101.6157837,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via none]: [DDGS] Found address + 5 sources,4,012-902 9664,2026-04-14 06:01:10 UTC,,
Scholars Junior,"JALAN JUBLI PERAK 22/1, Seksyen 22, 40300",Other,3.0669037,101.5547138,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)],4,,2026-04-14 06:01:10 UTC,,
Tadika Emaan Kindy,Jalan Dividen Tiga 23/6C,Other,3.0424106,101.526438,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)],4,012-283 3593,2026-04-14 06:01:10 UTC,,
Tadika Sri Nobel,"Petaling Jaya, 47301",OUT_OF_BOUNDS,3.1060526,101.6069522,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Flagged: Location outside 10km radius],0,03-7731 7770,2026-04-14 06:01:10 UTC,,
Taska Nur Suci,"2, Jalan Kepuk Empat 19/2D",Other,3.0516337,101.5258175,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — standard bilingual for Shah Alam area,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via none]: [DDGS] Found address + 5 sources,4,012-9086485,2026-04-14 06:01:10 UTC,,
Tadika Ilmu dan Iman,"1, Jalan U1/84B",Bukit Jelutong,3.0957833,101.5588458,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Islamic-integrated,Overpass API,[Verified: Overpass API - OpenStreetMap (main)],4,50966584003,2026-04-14 06:01:10 UTC,,
Tadika MBSA,"4, Jalan Nova U5/64, Subang Bestari, 40150",Glenmarie,3.1794317,101.5415743,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via combined_yahoo_tavily]: [Combined] DDGS: '[DDGS] No address found in 5 results' | Tavily: '[Tavily] Phone found',4,013-253 1110,2026-04-14 06:01:10 UTC,,
Al-Hafiz Childcare Centre @ Elmina City,"26, Jalan U16/162, Elmina, 40160",Elmina,3.1766818,101.5106305,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Islamic-integrated,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via none]: [DDGS] Found address + 5 sources,4,+603-783 1808,2026-04-14 06:01:10 UTC,,
Genius Aulad Elmina,"27, Jalan Frekuensi U16/110, Elmina, 40160",Elmina,3.1888947,101.5220377,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] BM + English — typical for Islamic-integrated preschool,RM 300–450/month (half-day),RM 450–650/month (full-day),RM 300–450/month (half-day) | RM 450–650/month (full-day),National Chain,Islamic-integrated,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified: Genius Aulad website / Kiddy123] | [Verified via none]: [DDGS] Found address + 5 sources,4,012-341 0056,2026-04-14 06:01:10 UTC,,
Bright Pearl Educare Centre,"1, Jalan Utarid U5/7, Seksyen U5, Subang Bestari, 40150",Glenmarie,3.1823789,101.5361725,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Verified: Overpass API - OpenStreetMap (main)] | [Verified via none]: [DDGS] Found address + 5 sources,4,012-455 7162,2026-04-14 06:01:10 UTC,,
Pusat Jagaan Kanak-kanak Sayang,"65, Jalan SS1/11, Petaling Jaya, 47300",OUT_OF_BOUNDS,3.097952,101.6187822,[Inferred] Standard KSPK assumed — typical for MOE-registered operator,[Inferred] English primary — area demographics suggest higher English demand,[Inferred] RM 300-500/mth (Market Average),[Inferred] RM 450-700/mth (Market Average),[Inferred] RM 300-500/mth (Market Average) | [Inferred] RM 450-700/mth (Market Average),Independent,Secular,Overpass API,[Flagged: Location outside 10km radius],0,03-5569 2612,2026-04-14 06:01:10 UTC,3.0,Duplicates merged
